BUILDER_NAME;INPUT_FILE;OUTPUT_FILE;GRID_SIZE;ISO_LEVEL;FIELD_ELEMENTS;NUM_THREADS;ELAPSED_TIME;TOTAL_TRIANGLES;OUTPUT_SIZE
OpenMP Loop;/home/training/dd-19-32-17/avs-2/scripts/../data/bun_zipper_res3.pts;;8;0.15;1889;16;11;552;
OpenMP Loop;/home/training/dd-19-32-17/avs-2/scripts/../data/bun_zipper_res3.pts;;16;0.15;1889;16;16;2384;
OpenMP Loop;/home/training/dd-19-32-17/avs-2/scripts/../data/bun_zipper_res3.pts;;32;0.15;1889;16;44;9780;
OpenMP Loop;/home/training/dd-19-32-17/avs-2/scripts/../data/bun_zipper_res3.pts;;64;0.15;1889;16;322;40288;
OpenMP Loop;/home/training/dd-19-32-17/avs-2/scripts/../data/bun_zipper_res3.pts;;128;0.15;1889;16;2692;163220;
OpenMP Loop;/home/training/dd-19-32-17/avs-2/scripts/../data/bun_zipper_res3.pts;;256;0.15;1889;16;20220;655500;
OpenMP Loop;/home/training/dd-19-32-17/avs-2/scripts/../data/bun_zipper_res3.pts;;512;0.15;1889;16;161765;2628352;
Octree;/home/training/dd-19-32-17/avs-2/scripts/../data/bun_zipper_res3.pts;;8;0.15;1889;16;5;552;
Octree;/home/training/dd-19-32-17/avs-2/scripts/../data/bun_zipper_res3.pts;;16;0.15;1889;16;15;2384;
Octree;/home/training/dd-19-32-17/avs-2/scripts/../data/bun_zipper_res3.pts;;32;0.15;1889;16;35;9780;
Octree;/home/training/dd-19-32-17/avs-2/scripts/../data/bun_zipper_res3.pts;;64;0.15;1889;16;137;40288;
Octree;/home/training/dd-19-32-17/avs-2/scripts/../data/bun_zipper_res3.pts;;128;0.15;1889;16;953;163220;
Octree;/home/training/dd-19-32-17/avs-2/scripts/../data/bun_zipper_res3.pts;;256;0.15;1889;16;6267;655500;
Octree;/home/training/dd-19-32-17/avs-2/scripts/../data/bun_zipper_res3.pts;;512;0.15;1889;16;47429;2628352;
